rule	severity	type	file	line	message
typescript:S6582	MAJOR	CODE_SMELL	packages/dbx-web/eslint/src/lib/require-component-config-input.rule.ts	116	Prefer using an optional chain expression instead, as it's more concise and easier to read.
typescript:S6582	MAJOR	CODE_SMELL	packages/dbx-web/eslint/src/lib/require-computed-signal-suffix.rule.ts	94	Prefer using an optional chain expression instead, as it's more concise and easier to read.
typescript:S6564	MAJOR	CODE_SMELL	packages/util/eslint/src/lib/require-constant-naming.rule.ts	1	Remove this redundant type alias and replace its occurrences with "any".
typescript:S6582	MAJOR	CODE_SMELL	packages/util/eslint/src/lib/require-constant-naming.rule.ts	191	Prefer using an optional chain expression instead, as it's more concise and easier to read.
typescript:S6564	MAJOR	CODE_SMELL	packages/util/eslint/src/lib/require-exported-jsdoc-example.rule.ts	1	Remove this redundant type alias and replace its occurrences with "any".
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/scan/generate-firestore-indexes-cli.ts	238	Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/scan/model-firebase-index-reference-scan.ts	115	Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/archetype-recommend.tool.ts	203	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/artifact-scaffold.tool.ts	136	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/artifact-scaffold.tool.ts	149	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/artifact-scaffold.tool.ts	161	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/auth-role-lookup.tool.ts	70	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/dbx-color-smell-check.tool.ts	62	Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/dbx-color-smell-check.tool.ts	130	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/dbx-color-template-list-app.tool.ts	49	Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/dbx-color-template-list-app.tool.ts	64	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/form-lookup.formatter.ts	134	Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/list-app-model-firebase-index.tool.ts	157	Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/list-app-model-firebase-index.tool.ts	171	Unexpected negated condition.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/list-app-model-firebase-index.tool.ts	193	Unexpected negated condition.
typescript:S3776	CRITICAL	CODE_SMELL	packages/dbx-components-mcp/src/tools/list-app-model-snapshot-fields.tool.ts	117	Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.
typescript:S7735	MINOR	CODE_SMELL	packages/dbx-components-mcp/src/tools/list-app-model-snapshot-fields.tool.ts	134	Unexpected negated condition.
